Planning Area,No. of operational stations,No. of future stations,Total no. of stations
Ang Mo Kio,2,3,5
Bedok,6,5,11
Bishan,2,3,5
Bukit Batok,5,3,8
Bukit Merah,6,3,9
Bukit Panjang,3,1,4
Bukit Timah,6,0,6
Changi,1,1,2
Choa Chu Kang,3,2,5
Clementi,1,0,1
Downtown Core,11,3,14
Geylang,8,0,8
Hougang,3,2,5
Jurong East,2,5,7
Jurong West,3,5,8
Kallang,9,2,11
Mandai,0,0,0
Marine Parade,0,4,4
Museum,4,0,4
Newton,1,0,1
Novena,2,2,4
Orchard,2,1,3
Outram,3,1,4
Pasir Ris,1,3,4
Punggol,1,2,3
Queenstown,8,0,8
River Valley,1,2,3
Rochor,6,0,6
Sembawang,2,0,2
Sengkang,2,0,2
Serangoon,3,2,5
Singapore River,2,1,3
Southern Islands,0,0,0
Sungei Kadut,1,1,2
Tampines,6,2,8
Tanglin,3,2,5
Toa Payoh,7,0,7
Woodlands,5,0,5
Yishun,2,1,3
