,trip_date,time_indicator,trips,Day,Weekday ,Holiday ,Month,Season
581,1/1/19,PM Period,6529,TUESDAY,WEEKDAY,1,1,Spring
718,1/1/19,Night,14747,TUESDAY,WEEKDAY,1,1,Spring
1249,1/1/19,Lunch Period,3785,TUESDAY,WEEKDAY,1,1,Spring
1308,1/1/19,AM Period,3039,TUESDAY,WEEKDAY,1,1,Spring
1,2/1/19,Lunch Period,7075,WEDNESDAY,WEEKDAY,0,1,Spring
721,2/1/19,PM Period,13941,WEDNESDAY,WEEKDAY,0,1,Spring
942,2/1/19,Night,5474,WEDNESDAY,WEEKDAY,0,1,Spring
992,2/1/19,AM Period,7205,WEDNESDAY,WEEKDAY,0,1,Spring
837,3/1/19,Lunch Period,8290,THURSDAY,WEEKDAY,0,1,Spring
1041,3/1/19,Night,6471,THURSDAY,WEEKDAY,0,1,Spring
1055,3/1/19,PM Period,16078,THURSDAY,WEEKDAY,0,1,Spring
1356,3/1/19,AM Period,8173,THURSDAY,WEEKDAY,0,1,Spring
522,4/1/19,PM Period,16681,FRIDAY,WEEKDAY,0,1,Spring
672,4/1/19,Night,7889,FRIDAY,WEEKDAY,0,1,Spring
1204,4/1/19,Lunch Period,8287,FRIDAY,WEEKDAY,0,1,Spring
1305,4/1/19,AM Period,8028,FRIDAY,WEEKDAY,0,1,Spring
6,5/1/19,AM Period,3145,SATURDAY,WEEKEND,0,1,Spring
529,5/1/19,Night,10199,SATURDAY,WEEKEND,0,1,Spring
624,5/1/19,Lunch Period,4568,SATURDAY,WEEKEND,0,1,Spring
1209,5/1/19,PM Period,9745,SATURDAY,WEEKEND,0,1,Spring
116,6/1/19,PM Period,8182,SUNDAY,WEEKEND,0,1,Spring
739,6/1/19,AM Period,3437,SUNDAY,WEEKEND,0,1,Spring
1348,6/1/19,Night,10442,SUNDAY,WEEKEND,0,1,Spring
1360,6/1/19,Lunch Period,4765,SUNDAY,WEEKEND,0,1,Spring
8,7/1/19,AM Period,11031,MONDAY,WEEKDAY,0,1,Spring
835,7/1/19,Night,5926,MONDAY,WEEKDAY,0,1,Spring
997,7/1/19,PM Period,14933,MONDAY,WEEKDAY,0,1,Spring
1358,7/1/19,Lunch Period,8644,MONDAY,WEEKDAY,0,1,Spring
674,8/1/19,Lunch Period,9316,TUESDAY,WEEKDAY,0,1,Spring
834,8/1/19,AM Period,10017,TUESDAY,WEEKDAY,0,1,Spring
1113,8/1/19,Night,6465,TUESDAY,WEEKDAY,0,1,Spring
1307,8/1/19,PM Period,17192,TUESDAY,WEEKDAY,0,1,Spring
58,9/1/19,Night,7988,WEDNESDAY,WEEKDAY,0,1,Spring
946,9/1/19,Lunch Period,10317,WEDNESDAY,WEEKDAY,0,1,Spring
1056,9/1/19,AM Period,11027,WEDNESDAY,WEEKDAY,0,1,Spring
1103,9/1/19,PM Period,20076,WEDNESDAY,WEEKDAY,0,1,Spring
109,10/1/19,PM Period,20975,THURSDAY,WEEKDAY,0,1,Spring
519,10/1/19,Night,9275,THURSDAY,WEEKDAY,0,1,Spring
720,10/1/19,Lunch Period,10972,THURSDAY,WEEKDAY,0,1,Spring
823,10/1/19,AM Period,11679,THURSDAY,WEEKDAY,0,1,Spring
64,11/1/19,AM Period,10355,FRIDAY,WEEKDAY,0,1,Spring
257,11/1/19,PM Period,20860,FRIDAY,WEEKDAY,0,1,Spring
885,11/1/19,Night,10216,FRIDAY,WEEKDAY,0,1,Spring
944,11/1/19,Lunch Period,10526,FRIDAY,WEEKDAY,0,1,Spring
252,12/1/19,PM Period,10454,SATURDAY,WEEKEND,0,1,Spring
429,12/1/19,Lunch Period,5104,SATURDAY,WEEKEND,0,1,Spring
1043,12/1/19,Night,12236,SATURDAY,WEEKEND,0,1,Spring
1201,12/1/19,AM Period,3538,SATURDAY,WEEKEND,0,1,Spring
475,13/1/19,Lunch Period,3899,SUNDAY,WEEKEND,0,1,Spring
722,13/1/19,Night,9774,SUNDAY,WEEKEND,0,1,Spring
993,13/1/19,PM Period,7219,SUNDAY,WEEKEND,0,1,Spring
1208,13/1/19,AM Period,3338,SUNDAY,WEEKEND,0,1,Spring
211,14/1/19,Lunch Period,8783,MONDAY,WEEKDAY,0,1,Spring
369,14/1/19,PM Period,16704,MONDAY,WEEKDAY,0,1,Spring
1005,14/1/19,Night,6008,MONDAY,WEEKDAY,0,1,Spring
1410,14/1/19,AM Period,10366,MONDAY,WEEKDAY,0,1,Spring
154,15/1/19,Lunch Period,10295,TUESDAY,WEEKDAY,0,1,Spring
516,15/1/19,PM Period,19119,TUESDAY,WEEKDAY,0,1,Spring
