time_bin,weekday,pickup_community_area,dropoff_community_area,duration,fare,distance_km
1,0,ROGERS PARK,ROGERS PARK,509.1199041,7.60735012,2.406254197
1,0,ROGERS PARK,WEST RIDGE,556.9330629,7.852535497,2.548576065
1,0,ROGERS PARK,UPTOWN,645.3194444,10.67650463,3.731592593
1,0,ROGERS PARK,LINCOLN SQUARE,798.6792453,12.15801887,4.827320755
1,0,ROGERS PARK,NORTH CENTER,1158.44,16.285,8.08864
1,0,ROGERS PARK,LAKE VIEW,892.3880597,15.45149254,6.392477612
1,0,ROGERS PARK,LINCOLN PARK,1008.190476,19.75,9.403174603
1,0,ROGERS PARK,NEAR NORTH SIDE,1163.566667,23.63444444,11.82728889
1,0,ROGERS PARK,EDISON PARK,2731.5,38.625,24.136
1,0,ROGERS PARK,NORWOOD PARK,1322.5,20.075,7.552
1,0,ROGERS PARK,JEFFERSON PARK,1292.75,22.4375,11.96
1,0,ROGERS PARK,FOREST GLEN,1033.954545,18.875,9.340363636
1,0,ROGERS PARK,NORTH PARK,834.2894737,12.74671053,5.589894737
1,0,ROGERS PARK,ALBANY PARK,1148.135417,17.13541667,7.903833333
1,0,ROGERS PARK,PORTAGE PARK,1766.541667,27.69791667,15.04466667
1,0,ROGERS PARK,IRVING PARK,1306.175439,20.6622807,9.874245614
1,0,ROGERS PARK,MONTCLARE,2760,39,1.28
1,0,ROGERS PARK,BELMONT CRAGIN,2191.5,30.91666667,15.86933333
1,0,ROGERS PARK,HERMOSA,2587.5,35.125,19.256
1,0,ROGERS PARK,AVONDALE,1262,20.625,10.578
1,0,ROGERS PARK,LOGAN SQUARE,1375.095238,22.63095238,10.39238095
1,0,ROGERS PARK,HUMBOLDT PARK,1881.869565,27.45652174,12.47026087
1,0,ROGERS PARK,WEST TOWN,1442.151515,25.12121212,13.11175758
1,0,ROGERS PARK,AUSTIN,2616.833333,33.875,16.10933333
1,0,ROGERS PARK,WEST GARFIELD PARK,1860,41,1.44
1,0,ROGERS PARK,EAST GARFIELD PARK,1877.5,34,20.08
1,0,ROGERS PARK,NEAR WEST SIDE,1553.229508,30.79508197,17.01062295
1,0,ROGERS PARK,NORTH LAWNDALE,1915,39.25,24.408
1,0,ROGERS PARK,SOUTH LAWNDALE,1731,42,26.56
1,0,ROGERS PARK,LOWER WEST SIDE,1745.666667,30.16666667,17.38666667
1,0,ROGERS PARK,LOOP,1393.427273,27.09090909,13.12378182
1,0,ROGERS PARK,NEAR SOUTH SIDE,1312,27.53125,15.436
1,0,ROGERS PARK,ARMOUR SQUARE,1473,37,23.288
1,0,ROGERS PARK,DOUGLAS,1823.444444,34.52777778,20.70755556
1,0,ROGERS PARK,FULLER PARK,1809.111111,40.88888889,25.71377778
1,0,ROGERS PARK,GRAND BOULEVARD,1860.888889,41.25,22.992
1,0,ROGERS PARK,KENWOOD,2103.666667,40.16666667,24.73066667
1,0,ROGERS PARK,HYDE PARK,1334,38.25,24.624
1,0,ROGERS PARK,WOODLAWN,2150.333333,46.33333333,29.35466667
1,0,ROGERS PARK,SOUTH SHORE,2161,47.9375,30.432
1,0,ROGERS PARK,CHATHAM,2153,52.78571429,34
1,0,ROGERS PARK,SOUTH CHICAGO,2419.5,51,32.512
1,0,ROGERS PARK,ROSELAND,2508.272727,60.77272727,39.60145455
