,date,median_downtime,company,weekday,season,holiday,fare,num_cabs,trips_per_cab,earnings_per_cab,distance
0,1/1/2019,30,Blue Ribbon Taxi Association Inc.,1,Winter,1,18.46551724,61,5.704918033,105.3442623,0.555402299
1,2/1/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,18.96404682,67,4.462686567,84.63059701,0.774849498
2,3/1/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,17.89391892,71,5.211267606,93.25,0.927135135
3,4/1/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,17.45069444,73,4.931506849,86.05821918,0.746666667
4,5/1/2019,90,Blue Ribbon Taxi Association Inc.,0,Winter,0,17.59198813,67,5.029850746,88.48507463,0.663264095
5,6/1/2019,75,Blue Ribbon Taxi Association Inc.,0,Winter,0,20.60218509,67,5.805970149,119.6156716,0.798766067
6,7/1/2019,90,Blue Ribbon Taxi Association Inc.,1,Winter,0,20.01873385,77,5.025974026,100.6136364,0.783462532
7,8/1/2019,120,Blue Ribbon Taxi Association Inc.,1,Winter,0,17.84679878,74,4.432432432,79.10472973,0.751219512
8,9/1/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,18.35167464,73,5.726027397,105.0821918,0.660669856
9,10/1/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,20.03051643,77,5.532467532,110.8181818,0.883004695
10,11/1/2019,67.5,Blue Ribbon Taxi Association Inc.,1,Winter,0,17.77570093,73,5.863013699,104.2191781,0.815700935
11,12/1/2019,60,Blue Ribbon Taxi Association Inc.,0,Winter,0,16.20111732,64,5.59375,90.625,0.690055866
12,13/1/2019,90,Blue Ribbon Taxi Association Inc.,0,Winter,0,20.54537037,61,4.426229508,90.93852459,1.28237037
13,14/1/2019,105,Blue Ribbon Taxi Association Inc.,1,Winter,0,20.54985549,74,4.675675676,96.08445946,1.178728324
14,15/1/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,18.69220056,68,5.279411765,98.68382353,0.993871866
15,16/1/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,19.56591449,74,5.689189189,111.3141892,0.700047506
16,17/1/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,19.97604423,74,5.5,109.8682432,0.793316953
17,18/1/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,18.98545861,73,6.123287671,116.2534247,0.721252796
18,19/1/2019,60,Blue Ribbon Taxi Association Inc.,0,Winter,0,15.80454545,55,5,79.02272727,0.598690909
19,20/1/2019,60,Blue Ribbon Taxi Association Inc.,0,Winter,0,16.80308219,54,5.407407407,90.86111111,0.626849315
20,21/1/2019,105,Blue Ribbon Taxi Association Inc.,1,Winter,1,20.8894052,61,4.409836066,92.11885246,0.856505576
21,22/1/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,18.99313187,67,5.432835821,103.1865672,0.695824176
22,23/1/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,19.086,67,5.597014925,106.8246269,0.900266667
23,24/1/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,20.33542714,72,5.527777778,112.4097222,0.734874372
24,25/1/2019,75,Blue Ribbon Taxi Association Inc.,1,Winter,0,19.89914425,70,5.842857143,116.2678571,0.788264059
25,26/1/2019,75,Blue Ribbon Taxi Association Inc.,0,Winter,0,18.26532258,68,4.558823529,83.26838235,0.749419355
26,27/1/2019,90,Blue Ribbon Taxi Association Inc.,0,Winter,0,20.84156051,61,5.147540984,107.2827869,0.966624204
27,28/1/2019,105,Blue Ribbon Taxi Association Inc.,1,Winter,0,19.56227758,63,4.46031746,87.25396825,0.852953737
