,pickup_community_area,pickup_ca,start_hour,cal_day_desc,average_speed,total_trips,avg_trips
0,8,NEAR NORTH SIDE,19,Weekdays,15.32741358,221273,1907.525862
1,6,LAKE VIEW,22,Weekend/Holidays,18.89211137,8690,74.9137931
2,6,LAKE VIEW,18,Weekdays,14.92485476,14255,122.887931
3,8,NEAR NORTH SIDE,1,Weekend/Holidays,18.81760864,87558,754.8103448
4,6,LAKE VIEW,12,Weekdays,21.30860412,12791,110.2672414
5,76,OHARE,21,Weekdays,41.39680537,70502,607.7758621
6,76,OHARE,15,Weekend/Holidays,31.77055633,22104,190.5517241
7,8,NEAR NORTH SIDE,20,Weekend/Holidays,14.39277887,63919,551.0258621
8,59,MCKINLEY PARK,9,Weekdays,1.876101548,3868,33.34482759
9,32,LOOP,7,Weekend/Holidays,36.01473656,11094,95.63793103
10,28,NEAR WEST SIDE,10,Weekdays,14.10483385,93143,802.9568966
11,32,LOOP,22,Weekdays,19.92269906,109119,940.6810345
12,6,LAKE VIEW,9,Weekdays,19.43739611,21154,182.362069
13,16,IRVING PARK,10,Weekdays,18.67951737,1971,16.99137931
14,28,NEAR WEST SIDE,0,Weekend/Holidays,17.74243203,17797,153.4224138
15,56,GARFIELD RIDGE,12,Weekdays,35.38805475,11426,98.5
16,1,ROGERS PARK,1,Weekend/Holidays,20.69931061,1167,10.06034483
17,24,WEST TOWN,11,Weekdays,20.53943613,4166,35.9137931
18,77,EDGEWATER,16,Weekdays,16.47690945,4381,37.76724138
19,32,LOOP,16,Weekdays,16.47558984,315661,2721.215517
20,28,NEAR WEST SIDE,1,Weekdays,18.33794825,6090,52.5
21,32,LOOP,14,Weekdays,19.29275668,240450,2072.844828
22,76,OHARE,17,Weekdays,23.52460093,53983,465.3706897
23,76,OHARE,19,Weekend/Holidays,38.78893527,24223,208.8189655
24,76,OHARE,12,Weekend/Holidays,39.62509211,14479,124.8189655
25,8,NEAR NORTH SIDE,8,Weekend/Holidays,31.03208985,22384,192.9655172
26,36,OAKLAND,13,Weekdays,24.14956175,241,2.077586207
27,8,NEAR NORTH SIDE,11,Weekdays,20.12144538,185498,1599.12069
28,32,LOOP,13,Weekdays,19.30446968,248838,2145.155172
29,8,NEAR NORTH SIDE,9,Weekdays,16.97837967,176330,1520.086207
30,3,UPTOWN,14,Weekdays,18.71618405,5891,50.78448276
31,8,NEAR NORTH SIDE,0,Weekend/Holidays,17.83245456,79792,687.862069
32,32,LOOP,11,Weekend/Holidays,24.33691909,33982,292.9482759
33,32,LOOP,15,Weekdays,18.71415865,256852,2214.241379
34,28,NEAR WEST SIDE,9,Weekdays,11.59223387,136015,1172.543103
35,77,EDGEWATER,6,Weekdays,33.20621139,3142,27.0862069
