S/N,pickup_community_area,pickup_ca,dropoff_community_area,dropoff_ca,time_indicator,cal_day_desc,avg_trips,total_trips,average_time,average_km,average_fare
10272,60,BRIDGEPORT,3,UPTOWN,PM Period,Weekend/Holidays,0.00862069,1,1310.15,67.5073,109.75
8380,59,MCKINLEY PARK,53,WEST PULLMAN,AM Period,Weekdays,0.00862069,1,1198.3,1.6422,7
11833,4,LINCOLN SQUARE,18,MONTCLARE,Night,Weekdays,0.00862069,1,1117.3,3.6869,12.75
11568,64,CLEARING,12,FOREST GLEN,Night,Weekdays,0.00862069,1,1105.783333,38.2053,57.25
8734,1,ROGERS PARK,73,WASHINGTON HEIGHTS,Night,Weekdays,0.00862069,1,1086.966667,37.03,57.25
12447,18,MONTCLARE,46,SOUTH CHICAGO,PM Period,Weekdays,0.00862069,1,1077.566667,40.0729,0.01
8198,4,LINCOLN SQUARE,73,WASHINGTON HEIGHTS,Night,Weekend/Holidays,0.00862069,1,971.7,35.1141,55.5
11609,42,WOODLAWN,15,PORTAGE PARK,PM Period,Weekdays,0.00862069,1,935.9,0,40.5
10776,46,SOUTH CHICAGO,65,WEST LAWN,Night,Weekend/Holidays,0.00862069,1,898.45,20.6724,35.25
12275,53,WEST PULLMAN,2,WEST RIDGE,Night,Weekdays,0.00862069,1,895.4833333,41.1838,63
7572,49,ROSELAND,20,HERMOSA,Night,Weekdays,0.00862069,1,882.6833333,28.9317,45
9596,52,EAST SIDE,3,UPTOWN,PM Period,Weekdays,0.00862069,1,851.3,35.9996,55
9275,10,NORWOOD PARK,35,DOUGLAS,Night,Weekdays,0.00862069,1,822.2666667,24.7135,37.75
11244,75,MORGAN PARK,29,NORTH LAWNDALE,Night,Weekdays,0.00862069,1,808,0,3.25
8232,43,SOUTH SHORE,72,BEVERLY,Night,Weekdays,0.00862069,1,786.7166667,12.0428,21
19497,59,MCKINLEY PARK,68,ENGLEWOOD,Lunch Period,Weekdays,0.025862069,3,775.85,3.949866667,9.416666667
8362,31,LOWER WEST SIDE,12,FOREST GLEN,PM Period,Weekdays,0.00862069,1,760.2666667,12.236,31.5
8345,55,HEGEWISCH,38,GRAND BOULEVARD,Night,Weekdays,0.00862069,1,744.4333333,21.9443,34
12982,55,HEGEWISCH,35,DOUGLAS,Night,Weekdays,0.00862069,1,735.5333333,0.1932,3.5
13182,77,EDGEWATER,65,WEST LAWN,Night,Weekdays,0.00862069,1,723.8833333,3.9284,10.25
8169,59,MCKINLEY PARK,11,JEFFERSON PARK,AM Period,Weekdays,0.00862069,1,707.45,23.023,43.25
14927,6,LAKE VIEW,48,CALUMET HEIGHTS,Night,Weekdays,0.017241379,2,693.625,5.5545,44.7
10012,30,SOUTH LAWNDALE,1,ROGERS PARK,Night,Weekdays,0.00862069,1,679.15,0.3381,91.5
10784,31,LOWER WEST SIDE,57,ARCHER HEIGHTS,PM Period,Weekdays,0.00862069,1,647.2833333,15.2306,24.5
16337,30,SOUTH LAWNDALE,49,ROSELAND,Night,Weekend/Holidays,0.017241379,2,616.8416667,11.2217,37.375
14106,38,GRAND BOULEVARD,22,LOGAN SQUARE,Night,Weekdays,0.017241379,2,609.8083333,9.016,14.625
8270,59,MCKINLEY PARK,46,SOUTH CHICAGO,AM Period,Weekdays,0.00862069,1,588.8166667,7.9534,27
16357,16,IRVING PARK,39,KENWOOD,Lunch Period,Weekdays,0.017241379,2,583.1166667,24.2627,37.375
13324,12,FOREST GLEN,38,GRAND BOULEVARD,Night,Weekdays,0.00862069,1,579.4,21.6706,34
17501,2,WEST RIDGE,17,DUNNING,Night,Weekend/Holidays,0.025862069,3,574,0,28.83333333
14347,26,WEST GARFIELD PARK,35,DOUGLAS,Night,Weekdays,0.017241379,2,560.6416667,9.821,17.5
14624,30,SOUTH LAWNDALE,77,EDGEWATER,Night,Weekdays,0.017241379,2,544.4916667,28.7385,52.775
11864,59,MCKINLEY PARK,45,AVALON PARK,Lunch Period,Weekdays,0.00862069,1,529.55,1.6744,5.5
15527,61,NEW CITY,41,HYDE PARK,Night,Weekdays,0.017241379,2,528.75,10.3845,23.25
13859,37,FULLER PARK,2,WEST RIDGE,Lunch Period,Weekend/Holidays,0.017241379,2,509.8583333,14.72345,26
18759,45,AVALON PARK,32,LOOP,Night,Weekdays,0.025862069,3,495.0277778,10.9641,20.08333333
16432,35,DOUGLAS,15,PORTAGE PARK,Night,Weekdays,0.017241379,2,475.9,18.12055,37.34
18090,68,ENGLEWOOD,66,CHICAGO LAWN,AM Period,Weekend/Holidays,0.025862069,3,474.7944444,8.5974,34.75
19121,45,AVALON PARK,27,EAST GARFIELD PARK,Night,Weekdays,0.025862069,3,449.9888889,17.64023333,28.66666667
18374,38,GRAND BOULEVARD,73,WASHINGTON HEIGHTS,Night,Weekend/Holidays,0.025862069,3,439.7611111,13.09466667,22.58333333
22808,51,SOUTH DEERING,8,NEAR NORTH SIDE,PM Period,Weekend/Holidays,0.043103448,5,439.5666667,17.10786,29.25
14508,52,EAST SIDE,49,ROSELAND,Night,Weekdays,0.017241379,2,438.375,11.92205,23.375
23871,59,MCKINLEY PARK,4,LINCOLN SQUARE,AM Period,Weekdays,0.051724138,6,437.1,13.82453333,28.23166667
11701,59,MCKINLEY PARK,18,MONTCLARE,AM Period,Weekdays,0.00862069,1,428.95,34.2125,63.5
18411,59,MCKINLEY PARK,41,HYDE PARK,AM Period,Weekdays,0.025862069,3,424.8888889,15.9229,33.2
17660,25,AUSTIN,22,LOGAN SQUARE,AM Period,Weekend/Holidays,0.025862069,3,413.1,4.728033333,16.85
19404,35,DOUGLAS,3,UPTOWN,Night,Weekend/Holidays,0.025862069,3,403.6944444,10.71723333,17.5
16924,34,ARMOUR SQUARE,16,IRVING PARK,PM Period,Weekdays,0.017241379,2,393.8,30.79125,54.125
19432,48,CALUMET HEIGHTS,3,UPTOWN,PM Period,Weekdays,0.025862069,3,392.5444444,29.60253333,48.08333333
17342,59,MCKINLEY PARK,57,ARCHER HEIGHTS,Lunch Period,Weekdays,0.025862069,3,379.9055556,8.914033333,20.13333333
