"","X.1","X","ï..","trip_date","time_indicator","trips","Weekday","Holiday","Season","Day_of_Week","Month","taxi_id","Distance"
"1",1,1,581,"2019-01-01","PM Period",6529,"WEEKDAY",1,"Winter","Tue","Jan",1667,50932.768
"2",2,2,718,"2019-01-01","Night",14747,"WEEKDAY",1,"Winter","Tue","Jan",1929,75822.304
"3",3,3,1249,"2019-01-01","Lunch Period",3785,"WEEKDAY",1,"Winter","Tue","Jan",1185,24397.744
"4",4,4,1308,"2019-01-01","AM Period",3039,"WEEKDAY",1,"Winter","Tue","Jan",986,19694.928
"5",5,5,1,"2019-01-02","Lunch Period",7075,"WEEKDAY",0,"Winter","Wed","Jan",2061,38621.28
"6",6,6,721,"2019-01-02","PM Period",13941,"WEEKDAY",0,"Winter","Wed","Jan",2879,75622.896
"7",7,7,942,"2019-01-02","Night",5474,"WEEKDAY",0,"Winter","Wed","Jan",1808,41750.208
"8",8,8,992,"2019-01-02","AM Period",7205,"WEEKDAY",0,"Winter","Wed","Jan",1645,37666.784
"9",9,9,837,"2019-01-03","Lunch Period",8290,"WEEKDAY",0,"Winter","Thu","Jan",2185,39021.728
"10",10,10,1041,"2019-01-03","Night",6471,"WEEKDAY",0,"Winter","Thu","Jan",1877,41215.888
"11",11,11,1055,"2019-01-03","PM Period",16078,"WEEKDAY",0,"Winter","Thu","Jan",3005,80130.96
"12",12,12,1356,"2019-01-03","AM Period",8173,"WEEKDAY",0,"Winter","Thu","Jan",1791,36949.808
"13",13,13,522,"2019-01-04","PM Period",16681,"WEEKDAY",0,"Winter","Fri","Jan",2996,77657.296
"14",14,14,672,"2019-01-04","Night",7889,"WEEKDAY",0,"Winter","Fri","Jan",2130,44353.76
"15",15,15,1204,"2019-01-04","Lunch Period",8287,"WEEKDAY",0,"Winter","Fri","Jan",2134,37124.48
"16",16,16,1305,"2019-01-04","AM Period",8028,"WEEKDAY",0,"Winter","Fri","Jan",1753,35487.6
"17",17,17,6,"2019-01-05","AM Period",3145,"WEEKEND",0,"Winter","Sat","Jan",1117,22712.48
"18",18,18,529,"2019-01-05","Night",10199,"WEEKEND",0,"Winter","Sat","Jan",1926,45596.544
"19",19,19,624,"2019-01-05","Lunch Period",4568,"WEEKEND",0,"Winter","Sat","Jan",1608,26843.936
"20",20,20,1209,"2019-01-05","PM Period",9745,"WEEKEND",0,"Winter","Sat","Jan",2422,53931.008
"21",21,21,116,"2019-01-06","PM Period",8182,"WEEKEND",0,"Winter","Sun","Jan",2279,70744.432
"22",22,22,739,"2019-01-06","AM Period",3437,"WEEKEND",0,"Winter","Sun","Jan",1194,30357.216
"23",23,23,1348,"2019-01-06","Night",10442,"WEEKEND",0,"Winter","Sun","Jan",1934,58184.096
"24",24,24,1360,"2019-01-06","Lunch Period",4765,"WEEKEND",0,"Winter","Sun","Jan",1628,36654.912
"25",25,25,8,"2019-01-07","AM Period",11031,"WEEKDAY",0,"Winter","Mon","Jan",2184,60743.072
"26",26,26,835,"2019-01-07","Night",5926,"WEEKDAY",0,"Winter","Mon","Jan",1812,42501.584
"27",27,27,997,"2019-01-07","PM Period",14933,"WEEKDAY",0,"Winter","Mon","Jan",2949,76131.2
"28",28,28,1358,"2019-01-07","Lunch Period",8644,"WEEKDAY",0,"Winter","Mon","Jan",2422,44460.064
"29",29,29,674,"2019-01-08","Lunch Period",9316,"WEEKDAY",0,"Winter","Tue","Jan",2391,43247.056
"30",30,30,834,"2019-01-08","AM Period",10017,"WEEKDAY",0,"Winter","Tue","Jan",2066,45800.624
"31",31,31,1113,"2019-01-08","Night",6465,"WEEKDAY",0,"Winter","Tue","Jan",1911,40401.44
"32",32,32,1307,"2019-01-08","PM Period",17192,"WEEKDAY",0,"Winter","Tue","Jan",3090,84507.664
"33",33,33,58,"2019-01-09","Night",7988,"WEEKDAY",0,"Winter","Wed","Jan",2085,52384.432
"34",34,34,946,"2019-01-09","Lunch Period",10317,"WEEKDAY",0,"Winter","Wed","Jan",2557,46357.552
"35",35,35,1056,"2019-01-09","AM Period",11027,"WEEKDAY",0,"Winter","Wed","Jan",2192,48746.752
"36",36,36,1103,"2019-01-09","PM Period",20076,"WEEKDAY",0,"Winter","Wed","Jan",3256,102608.112
"37",37,37,109,"2019-01-10","PM Period",20975,"WEEKDAY",0,"Winter","Thu","Jan",3331,115353.92
"38",38,38,519,"2019-01-10","Night",9275,"WEEKDAY",0,"Winter","Thu","Jan",2288,62985.216
"39",39,39,720,"2019-01-10","Lunch Period",10972,"WEEKDAY",0,"Winter","Thu","Jan",2521,51200.768
"40",40,40,823,"2019-01-10","AM Period",11679,"WEEKDAY",0,"Winter","Thu","Jan",2172,50728.016
"41",41,41,64,"2019-01-11","AM Period",10355,"WEEKDAY",0,"Winter","Fri","Jan",2044,46780.176
"42",42,42,257,"2019-01-11","PM Period",20860,"WEEKDAY",0,"Winter","Fri","Jan",3266,100475.76
"43",43,43,885,"2019-01-11","Night",10216,"WEEKDAY",0,"Winter","Fri","Jan",2312,54736.48
"44",44,44,944,"2019-01-11","Lunch Period",10526,"WEEKDAY",0,"Winter","Fri","Jan",2447,49407.584
"45",45,45,252,"2019-01-12","PM Period",10454,"WEEKEND",0,"Winter","Sat","Jan",2121,49477.76
"46",46,46,429,"2019-01-12","Lunch Period",5104,"WEEKEND",0,"Winter","Sat","Jan",1520,25537.776
"47",47,47,1043,"2019-01-12","Night",12236,"WEEKEND",0,"Winter","Sat","Jan",1861,50405.856
"48",48,48,1201,"2019-01-12","AM Period",3538,"WEEKEND",0,"Winter","Sat","Jan",1103,21799.616
