,pickup_community_area,pickup area ,dropoff_community_area,dropoff area,trip_indicator,avg_km,avg_tm,avg_fares,avg_tolls,avg_tips,avg_extras,avg_total_fares,trips
0,1,Rogers Park,3,Uptown,Inter-Area,3.838114006,13.84818438,11.2247888,0,0.67006225,0.249777679,12.22310805,4498
1,1,Rogers Park,77,Edgewater,Inter-Area,1.943427723,8.59741499,8.7171182,0,0.481925961,0.262891322,9.518387097,8401
2,1,Rogers Park,23,Humboldt Park,Inter-Area,13.05198716,39.07781532,29.125,0,0.795540541,0.094594595,30.09621622,148
3,1,Rogers Park,12,Forest Glen,Inter-Area,7.1104845,18.66666667,17.2475,0,0.5594,0.1875,18.0494,200
4,1,Rogers Park,39,Kenwood,Inter-Area,23.39374722,37.23055556,39.11805556,0,0.766666667,0.111111111,40.05138889,36
5,1,Rogers Park,49,Roseland,Inter-Area,34.21435769,49.26410256,55.12019231,0,0,0.038461538,55.15865385,52
6,1,Rogers Park,25,Austin,Inter-Area,17.73576,54.47916667,37.3375,0,0.250625,0.025,37.619375,80
7,1,Rogers Park,2,West Ridge,Inter-Area,2.296453405,10.29408011,8.014929783,0,0.164288553,0.160507419,8.36567965,7548
8,1,Rogers Park,68,Englewood,Inter-Area,23.61898246,37.09473684,39.49578947,0,0.545614035,0.026315789,40.08526316,57
9,1,Rogers Park,19,Belmont Cragin,Inter-Area,14.6084642,37.33662551,29.87345679,0,0.427530864,0.388888889,30.72074074,81
10,1,Rogers Park,46,South Chicago,Inter-Area,33.33645875,55.9525,55.093125,0,0.0875,0.0625,55.243125,80
11,1,Rogers Park,14,Albany Park,Inter-Area,7.412321067,21.04521204,17.21610123,0,0.397578659,0.385088919,18.03358413,731
12,1,Rogers Park,34,Armour Square,Inter-Area,21.3626359,31.02051282,35.35897436,0,0.829487179,0.666666667,36.88076923,39
13,1,Rogers Park,15,Portage Park,Inter-Area,12.85965545,37.05166667,25.79545455,0,0.393181818,0.436363636,26.64772727,110
14,1,Rogers Park,38,Grand Boulevard,Inter-Area,19.57002353,57.19166667,37.99264706,0,0,0.779411765,38.78676471,34
15,1,Rogers Park,33,Near South Side,Inter-Area,16.0967625,28.9861413,31.25,0,1.686086957,0.35326087,33.4086413,184
16,1,Rogers Park,5,North Center,Inter-Area,6.382466859,20.3018732,15.30979827,0,0.780403458,0.328530259,16.50648415,347
17,1,Rogers Park,35,Douglas,Inter-Area,17.36873279,33.81174863,32.00819672,0,0.173934426,0.721311475,32.91983607,61
18,1,Rogers Park,75,Morgan Park,Inter-Area,34.48034545,54.85,54.34090909,0,0,0,54.34090909,11
19,1,Rogers Park,6,Lake View,Inter-Area,6.417245766,18.16350806,16.2405746,0,0.892268145,0.247143817,17.45933804,2976
20,1,Rogers Park,50,Pullman,Inter-Area,39.74446,53.56333333,62.175,0,0,0,62.175,10
21,1,Rogers Park,71,Auburn Gresham,Inter-Area,29.15806988,58.21465863,48.0060241,0,0.175301205,0.096385542,48.28373494,83
22,1,Rogers Park,72,Beverly,Inter-Area,34.7438,77.38333333,78.8125,0,5.36,1.75,86.0475,4
23,1,Rogers Park,28,Near West Side,Inter-Area,14.61826717,35.73585271,29.23904293,0,1.220724508,0.367173524,30.91830948,1118
24,1,Rogers Park,66,Chicago Lawn,Inter-Area,30.16315366,52.57479675,52.36585366,0,0,0.06097561,52.42682927,41
25,1,Rogers Park,56,Garfield Ridge,Inter-Area,26.22097576,43.90685426,53.43506494,0,5.411774892,0.341991342,59.39489177,231
26,1,Rogers Park,54,Riverdale,Inter-Area,44.36086667,73.62777778,70.41666667,0,0,0,70.41666667,3
27,1,Rogers Park,9,Edison Park,Inter-Area,16.54543333,36.40925926,29.27777778,0,0,0.111111111,29.38888889,9
28,1,Rogers Park,1,Rogers Park,Intra-Area,1.740120781,7.910113116,7.168757878,0.000323189,0.369117695,0.598891462,8.187443038,18565
29,1,Rogers Park,69,Greater Grand Crossing,Inter-Area,29.79974217,46.19337349,48.98795181,0,0.042168675,0.06626506,49.09638554,83
30,1,Rogers Park,70,Ashburn,Inter-Area,28.13600222,54.82518519,46.58888889,0,0,0,46.58888889,45
31,1,Rogers Park,30,South Lawndale,Inter-Area,22.246175,40.73630952,40.8125,0,0.071428571,1.035714286,41.91964286,28
32,1,Rogers Park,47,Burnside,Inter-Area,27.57310769,42.65,45.46153846,0,0.969230769,0.076923077,46.50769231,13
33,1,Rogers Park,59,McKinley Park,Inter-Area,14.55601,87.45833333,32.475,0,2.52,0.1,35.095,10
34,1,Rogers Park,22,Logan Square,Inter-Area,10.20422676,32.58108575,23.43983402,0,1.775726141,0.238589212,25.61804979,482
35,1,Rogers Park,4,Lincoln Square,Inter-Area,4.812621471,16.09537255,12.51555882,0,0.741229412,0.235,13.53758235,1700
36,1,Rogers Park,20,Hermosa,Inter-Area,11.54423311,39.27339956,25.85264901,0,0.072913907,0.072847682,26.00834437,151
37,1,Rogers Park,27,East Garfield Park,Inter-Area,18.89586563,39.81145833,32.4375,0,0.2625,0.09375,32.809375,32
38,1,Rogers Park,11,Jefferson Park,Inter-Area,14.27837788,33.11089744,27.91826923,0,1.956538462,0.913461538,30.92673077,104
39,1,Rogers Park,42,Woodlawn,Inter-Area,28.92823544,48.7164557,46.86075949,0,0.831139241,0.474683544,48.17924051,79
40,1,Rogers Park,36,Oakland,Inter-Area,22.696975,34.38541667,39.421875,0,0,0,39.421875,16
41,1,Rogers Park,45,Avalon Park,Inter-Area,28.46211667,47.96666667,46.375,0,0,0,46.375,6
42,1,Rogers Park,61,New City,Inter-Area,26.00334,57.29619048,42.1,0,0,0.171428571,42.27142857,35
43,1,Rogers Park,13,North Park,Inter-Area,5.332587868,18.28656846,13.69280763,0,0.20864818,0.242634315,14.1692201,577
44,1,Rogers Park,67,West Englewood,Inter-Area,20.08099333,44.76925926,35.41666667,0,0,0,35.41666667,45
45,1,Rogers Park,52,East Side,Inter-Area,40.72226667,45.07777778,62.5,0,0,0,62.5,3
