,dropoff_community_area,end_hour,cal_day_desc,average_speed,total_trips,avg_trips
0,28,15,All,16.653263006999282,114286,313.1123287671233
1,31,5,All,26.66359172307556,632,1.7315068493150685
2,32,7,All,18.30716380727575,125092,342.7178082191781
3,8,13,All,20.5343890205608,282082,772.827397260274
4,53,12,All,36.58621599085885,308,0.8438356164383561
5,6,0,All,28.51764329484508,28833,78.9945205479452
6,28,18,All,12.943871218735422,160772,440.47123287671235
7,7,22,All,28.32473126643567,42033,115.15890410958905
8,7,19,All,19.715498632073974,61620,168.82191780821918
9,7,2,All,23.08569030848287,17810,48.794520547945204
10,27,16,All,20.85376920266994,830,2.2739726027397262
11,76,15,All,29.68389096591977,41468,113.6109589041096
12,76,9,All,33.51676787911785,30447,83.41643835616438
13,32,16,All,17.621535140035522,233894,640.8054794520548
14,4,19,All,23.87478246786366,6197,16.97808219178082
15,76,11,All,41.012122777986185,33067,90.59452054794521
16,14,8,All,18.06100084394177,920,2.5205479452054793
17,14,17,All,18.952982898428203,1843,5.049315068493151
18,76,8,All,31.610259909853195,31298,85.74794520547945
19,15,4,All,31.91939271380801,722,1.978082191780822
20,4,4,All,25.276657478869996,1384,3.791780821917808
21,29,15,All,21.696812542308866,659,1.8054794520547945
22,28,11,All,20.31972110369846,84072,230.33424657534246
23,41,16,All,29.563822787324863,4730,12.95890410958904
24,41,3,All,41.025405338219166,373,1.021917808219178
25,8,18,All,15.456922708731929,368882,1010.6356164383561
26,8,11,All,20.771034122849954,237531,650.7698630136987
27,42,13,All,28.774637016867107,993,2.7205479452054795
28,3,13,All,22.202145602693193,8720,23.89041095890411
29,3,14,All,23.538782702838752,9313,25.515068493150686
30,3,3,All,23.58613890398497,6017,16.484931506849314
31,3,20,All,27.942079548078606,13242,36.27945205479452
32,3,7,All,17.73263378005657,3768,10.323287671232876
33,3,19,All,24.568438616947034,13448,36.843835616438355
34,3,12,All,22.90750787879076,8286,22.7013698630137
35,3,1,All,27.68302982681749,7701,21.0986301369863
36,3,2,All,27.156017226704147,6801,18.632876712328766
37,8,17,All,15.852702817172275,334476,916.3726027397261
38,2,17,All,16.18166229165698,4883,13.378082191780821
39,6,20,All,26.19891913735804,49376,135.27671232876713
40,6,10,All,24.61487259417168,17228,47.2
41,77,19,All,25.83226900083404,10036,27.495890410958904
42,77,3,All,26.977400440062553,3713,10.172602739726027
43,5,12,All,26.582949592820484,3072,8.416438356164383
44,26,21,All,33.883768626226534,152,0.41643835616438357
45,1,0,All,29.79587841830026,3413,9.35068493150685
46,21,16,All,19.382535452330544,3133,8.583561643835617
47,28,16,All,14.796095053138902,144586,396.12602739726026
48,31,16,All,20.019738598724004,2044,5.6
49,6,19,All,21.858703896541865,50585,138.58904109589042
50,33,16,All,20.4821695212735,27729,75.96986301369863
51,33,11,All,23.22369602937776,32984,90.36712328767123
52,33,13,All,23.902003107318503,29320,80.32876712328768
53,33,14,All,22.974460690265136,28313,77.56986301369864
54,33,12,All,23.430728936674278,30809,84.40821917808219
55,33,10,All,22.103722951761334,35673,97.73424657534247
56,8,19,All,18.293068839295778,338671,927.8657534246576
57,8,9,All,16.479446407655452,188779,517.2027397260274
58,8,16,All,18.418015362970454,296103,811.241095890411
59,32,20,All,24.888570706163346,132414,362.7780821917808
60,32,11,All,20.814652327991013,222655,610.013698630137
61,32,0,All,29.637453451407627,45543,124.77534246575343
62,8,14,All,20.719183631139014,269717,738.9506849315069
63,8,6,All,22.3917201082138,28249,77.3945205479452
64,8,2,All,20.99038532132432,76006,208.23561643835617
65,8,21,All,26.510070861896246,224302,614.5260273972602
66,28,21,All,23.53291942656032,64868,177.72054794520548
67,31,12,All,24.16152663451119,1601,4.3863013698630136
68,30,1,All,35.62432049914414,250,0.684931506849315
69,30,10,All,26.25991578302385,664,1.819178082191781
70,30,5,All,38.85449114317692,262,0.7178082191780822
71,39,12,All,31.98622692846352,1626,4.454794520547945
72,36,23,All,37.345703074966394,207,0.5671232876712329
73,44,12,All,26.492023983232976,1032,2.8273972602739725
74,35,3,All,28.02693081115485,450,1.2328767123287672
75,32,4,All,20.176393463271783,9872,27.046575342465754
76,32,22,All,28.432881706899337,96289,263.8054794520548
77,32,5,All,25.103703157561007,11634,31.873972602739727
78,7,0,All,26.97222905652145,25954,71.10684931506849
79,6,21,All,29.575831959857254,45058,123.44657534246575
80,6,12,All,24.641750891984668,24905,68.23287671232876
81,77,10,All,20.55495743937809,5602,15.347945205479451
82,77,16,All,24.39553228783575,8762,24.005479452054793
83,5,7,All,24.297119737275423,991,2.7150684931506848
84,5,8,All,24.585476208146613,1412,3.8684931506849316
85,23,1,All,24.570254105292204,1066,2.9205479452054797
86,16,12,All,21.566665369896224,3070,8.41095890410959
87,16,8,All,18.41178668707513,1929,5.284931506849315
88,16,15,All,21.144832536278706,3684,10.093150684931507
89,15,20,All,29.690645802958745,1909,5.23013698630137
90,15,17,All,19.372422414042912,1692,4.635616438356164
91,19,11,All,20.64151144132784,579,1.5863013698630137
92,19,23,All,25.034991742722895,685,1.8767123287671232
93,56,7,All,39.16528950964499,8835,24.205479452054796
94,56,18,All,21.713051378145618,7634,20.915068493150685
95,24,12,All,23.72778502446328,15350,42.054794520547944
96,22,2,All,28.62524547185518,6193,16.96712328767123
97,22,22,All,32.02433341906704,11865,32.50684931506849
98,22,12,All,26.185262802750113,4680,12.821917808219178
99,22,14,All,25.794720272851862,5490,15.04109589041096
100,21,15,All,20.406426336151696,3045,8.342465753424657
101,56,11,All,34.665009550762164,10869,29.778082191780822
102,56,15,All,24.80428333879419,11157,30.567123287671233
