,dropoff_community_area,dropoff_ca,start_hour,cal_day_desc,average_speed,total_trips,avg_trips
0,28,NEAR WEST SIDE,15,Weekdays,15.65193398,99331,856.3017241
1,8,NEAR NORTH SIDE,16,Weekdays,16.75522689,235561,2030.698276
2,8,NEAR NORTH SIDE,17,Weekdays,14.64858115,272385,2348.146552
3,32,LOOP,0,Weekdays,33.71883113,22954,197.8793103
4,3,UPTOWN,8,Weekdays,21.46400715,5319,45.85344828
5,33,NEAR SOUTH SIDE,9,Weekdays,20.78827373,24879,214.4741379
6,33,NEAR SOUTH SIDE,12,Weekend/Holidays,22.92818126,9782,84.32758621
7,8,NEAR NORTH SIDE,14,Weekdays,20.82102367,212733,1833.905172
8,11,JEFFERSON PARK,16,Weekdays,21.56219585,1375,11.85344828
9,76,OHARE,16,Weekend/Holidays,30.75166646,8090,69.74137931
10,32,LOOP,22,Weekend/Holidays,25.80885541,24236,208.9310345
11,32,LOOP,11,Weekdays,20.76204928,197808,1705.241379
12,8,NEAR NORTH SIDE,20,Weekdays,24.06042127,190886,1645.568966
13,8,NEAR NORTH SIDE,8,Weekdays,16.10320928,141729,1221.801724
14,28,NEAR WEST SIDE,16,Weekdays,13.38157136,131448,1133.172414
15,28,NEAR WEST SIDE,17,Weekdays,11.57844436,146258,1260.844828
16,77,EDGEWATER,20,Weekdays,29.60475325,6902,59.5
17,24,WEST TOWN,17,Weekdays,14.92980155,29703,256.0603448
18,76,OHARE,11,Weekdays,40.04567982,28199,243.0948276
19,8,NEAR NORTH SIDE,3,Weekend/Holidays,15.16287515,37742,325.362069
20,7,LINCOLN PARK,0,Weekend/Holidays,21.7283831,13200,113.7931034
21,4,LINCOLN SQUARE,3,Weekend/Holidays,24.48854467,965,8.318965517
22,17,DUNNING,0,Weekend/Holidays,18.92787624,150,1.293103448
23,39,KENWOOD,10,Weekend/Holidays,32.0930893,347,2.99137931
24,8,NEAR NORTH SIDE,12,Weekdays,20.45328523,224957,1939.284483
25,7,LINCOLN PARK,15,Weekdays,20.78271987,24390,210.2586207
26,28,NEAR WEST SIDE,13,Weekdays,17.46680015,87708,756.1034483
27,8,NEAR NORTH SIDE,13,Weekend/Holidays,22.28059907,59454,512.5344828
28,33,NEAR SOUTH SIDE,21,Weekdays,27.28810503,16309,140.5948276
29,32,LOOP,19,Weekdays,20.52541075,128030,1103.706897
30,7,LINCOLN PARK,23,Weekend/Holidays,26.00524774,9504,81.93103448
31,28,NEAR WEST SIDE,14,Weekend/Holidays,20.00242321,15961,137.5948276
32,8,NEAR NORTH SIDE,6,Weekdays,25.4832899,27737,239.112069
33,24,WEST TOWN,2,Weekdays,26.50385777,4359,37.57758621
34,8,NEAR NORTH SIDE,23,Weekdays,23.8249824,103331,890.7844828
35,24,WEST TOWN,5,Weekdays,35.44495071,1769,15.25
36,22,LOGAN SQUARE,23,Weekend/Holidays,27.77143792,3078,26.53448276
37,69,GREATER GRAND CROSSING,21,Weekdays,23.44486276,381,3.284482759
38,8,NEAR NORTH SIDE,13,Weekdays,20.91325685,222012,1913.896552
39,3,UPTOWN,20,Weekdays,26.70344978,9588,82.65517241
40,76,OHARE,9,Weekdays,37.00030505,20829,179.5603448
41,3,UPTOWN,15,Weekdays,22.28376265,8199,70.68103448
42,21,AVONDALE,16,Weekdays,18.35366784,2726,23.5
43,33,NEAR SOUTH SIDE,15,Weekend/Holidays,21.30457438,8315,71.68103448
44,33,NEAR SOUTH SIDE,10,Weekdays,22.16983498,23362,201.3965517
45,33,NEAR SOUTH SIDE,11,Weekdays,25.14776635,21387,184.3706897
46,33,NEAR SOUTH SIDE,19,Weekdays,21.28499614,22889,197.3189655
